Data_Centre_Name,Latitude,Longitude,Climate_Zone,Cooling_System_Type,Ambient_Temperature_C,Relative_Humidity_Pct,IT_Load_MW,Server_Utilisation_Pct,WUE_Litres_Per_kWh,Data_Source,Citation,Cooling_Type_Encoded,Climate_Zone_Encoded
Bangalore,12.9,77.6,tropical,air_side,21.4,92.3,100,40,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,1
Bangalore,12.9,77.6,tropical,evaporative,32.2,90.1,50,75,1.012,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,1
Bangalore,12.9,77.6,tropical,evaporative,28.8,72.6,200,55,0.925,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,1
Bangalore,12.9,77.6,tropical,evaporative,30.0,81.6,500,40,0.951,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,1
Bangalore,12.9,77.6,tropical,evaporative,24.6,79.8,300,65,0.661,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,1
Bangalore,12.9,77.6,tropical,chilled_water,25.6,85.8,200,85,0.919,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,1
Bangalore,12.9,77.6,tropical,chilled_water,32.0,79.4,300,55,1.002,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,1
Bangalore,12.9,77.6,tropical,chilled_water,35.6,86.2,20,40,1.083,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,1
Bangalore,12.9,77.6,tropical,chilled_water,27.6,86.9,10,95,0.932,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,1
Bangalore,12.9,77.6,tropical,liquid,23.3,59.7,10,85,0.236,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,1
Bangalore,12.9,77.6,tropical,liquid,30.3,73.0,50,95,0.281,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,1
Bangalore,12.9,77.6,tropical,liquid,19.9,81.6,10,75,0.235,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,1
Bangalore,12.9,77.6,tropical,liquid,30.1,74.7,500,65,0.272,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,1
Chennai,13.1,80.3,tropical,air_side,34.8,69.0,100,95,0.034,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,1
Chennai,13.1,80.3,tropical,air_side,31.4,73.5,10,75,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,1
Chennai,13.1,80.3,tropical,air_side,25.7,87.4,300,65,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,1
Chennai,13.1,80.3,tropical,air_side,28.5,70.5,200,40,0.026,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,1
Chennai,13.1,80.3,tropical,evaporative,35.3,97.6,500,95,1.163,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,1
Chennai,13.1,80.3,tropical,evaporative,17.3,79.3,50,75,0.264,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,1
Chennai,13.1,80.3,tropical,evaporative,28.3,80.5,200,85,0.877,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,1
Chennai,13.1,80.3,tropical,evaporative,27.1,79.1,20,40,0.802,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,1
Chennai,13.1,80.3,tropical,chilled_water,23.1,84.7,10,95,0.846,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,1
Chennai,13.1,80.3,tropical,chilled_water,23.8,88.5,300,85,0.842,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,1
Chennai,13.1,80.3,tropical,chilled_water,24.3,87.7,50,40,0.865,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,1
Chennai,13.1,80.3,tropical,chilled_water,26.9,92.0,300,65,0.936,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,1
Chennai,13.1,80.3,tropical,seawater,29.8,79.5,300,65,0.227,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,1
Chennai,13.1,80.3,tropical,seawater,24.2,86.2,100,85,0.212,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,1
Chennai,13.1,80.3,tropical,seawater,24.3,75.5,200,55,0.212,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,1
Chennai,13.1,80.3,tropical,seawater,22.7,78.2,100,40,0.204,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,1
Chennai,13.1,80.3,tropical,liquid,30.9,81.8,50,65,0.288,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,1
Chennai,13.1,80.3,tropical,liquid,32.0,95.6,50,75,0.314,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,1
Chennai,13.1,80.3,tropical,liquid,24.0,87.9,20,85,0.267,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,1
Chennai,13.1,80.3,tropical,liquid,27.4,90.8,100,55,0.297,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,1
Sydney,-33.9,151.2,temperate,air_side,11.7,65.0,100,65,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Sydney,-33.9,151.2,temperate,air_side,6.3,67.0,100,85,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Sydney,-33.9,151.2,temperate,air_side,13.7,83.4,100,40,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Sydney,-33.9,151.2,temperate,air_side,14.8,68.1,200,75,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Sydney,-33.9,151.2,temperate,evaporative,14.4,63.2,50,85,0.203,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Sydney,-33.9,151.2,temperate,evaporative,13.6,69.6,50,40,0.088,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Sydney,-33.9,151.2,temperate,evaporative,15.6,64.1,20,65,0.247,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Sydney,-33.9,151.2,temperate,evaporative,10.6,60.4,20,95,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Sydney,-33.9,151.2,temperate,chilled_water,12.9,66.9,10,75,0.605,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Sydney,-33.9,151.2,temperate,chilled_water,13.0,71.1,10,55,0.629,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Sydney,-33.9,151.2,temperate,chilled_water,16.1,60.5,10,85,0.663,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Sydney,-33.9,151.2,temperate,chilled_water,16.9,72.9,300,40,0.683,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Sydney,-33.9,151.2,temperate,seawater,11.4,65.4,500,65,0.151,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,3
Sydney,-33.9,151.2,temperate,seawater,16.1,71.7,200,75,0.167,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,3
Sydney,-33.9,151.2,temperate,seawater,14.8,70.9,10,55,0.151,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,3
Sydney,-33.9,151.2,temperate,seawater,14.4,71.5,20,95,0.157,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,3
Sydney,-33.9,151.2,temperate,liquid,18.1,62.1,20,55,0.224,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Sydney,-33.9,151.2,temperate,liquid,5.9,65.8,500,75,0.167,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Sydney,-33.9,151.2,temperate,liquid,11.4,86.9,50,40,0.199,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Sydney,-33.9,151.2,temperate,liquid,17.0,62.9,20,65,0.206,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Melbourne,-37.8,145.0,temperate,air_side,16.6,67.3,200,65,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Melbourne,-37.8,145.0,temperate,air_side,15.8,67.0,500,85,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Melbourne,-37.8,145.0,temperate,air_side,14.2,73.5,50,55,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Melbourne,-37.8,145.0,temperate,air_side,18.2,85.8,200,95,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Melbourne,-37.8,145.0,temperate,evaporative,18.7,60.8,500,65,0.433,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Melbourne,-37.8,145.0,temperate,evaporative,13.2,71.3,300,85,0.077,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Melbourne,-37.8,145.0,temperate,evaporative,8.2,55.3,20,95,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Melbourne,-37.8,145.0,temperate,evaporative,16.0,59.8,20,55,0.303,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Melbourne,-37.8,145.0,temperate,chilled_water,13.7,65.4,10,85,0.631,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Melbourne,-37.8,145.0,temperate,chilled_water,13.0,67.3,300,95,0.637,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Melbourne,-37.8,145.0,temperate,chilled_water,13.6,61.0,20,40,0.606,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Melbourne,-37.8,145.0,temperate,chilled_water,15.5,62.0,300,55,0.628,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Melbourne,-37.8,145.0,temperate,seawater,12.3,70.1,50,65,0.146,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,3
Melbourne,-37.8,145.0,temperate,seawater,9.5,47.0,10,75,0.102,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,3
Melbourne,-37.8,145.0,temperate,seawater,15.6,73.7,50,40,0.149,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,3
Melbourne,-37.8,145.0,temperate,seawater,14.3,54.0,100,85,0.128,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,3
Melbourne,-37.8,145.0,temperate,liquid,14.1,73.2,100,65,0.202,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Melbourne,-37.8,145.0,temperate,liquid,16.6,73.8,20,40,0.212,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Melbourne,-37.8,145.0,temperate,liquid,14.7,67.4,10,75,0.209,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Melbourne,-37.8,145.0,temperate,liquid,15.3,61.3,50,95,0.185,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
London,51.5,-0.1,oceanic,air_side,8.2,79.8,500,75,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,5
London,51.5,-0.1,oceanic,air_side,10.7,72.0,20,65,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,5
London,51.5,-0.1,oceanic,air_side,15.7,77.7,300,55,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,5
London,51.5,-0.1,oceanic,air_side,9.2,76.5,200,95,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,5
London,51.5,-0.1,oceanic,evaporative,14.6,73.1,300,85,0.136,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,5
London,51.5,-0.1,oceanic,evaporative,9.8,71.4,200,65,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,5
London,51.5,-0.1,oceanic,evaporative,12.5,70.2,50,95,0.049,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,5
London,51.5,-0.1,oceanic,evaporative,16.5,71.2,300,75,0.269,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,5
London,51.5,-0.1,oceanic,chilled_water,15.7,74.5,100,95,0.67,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,5
London,51.5,-0.1,oceanic,chilled_water,16.6,80.4,300,40,0.699,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,5
London,51.5,-0.1,oceanic,chilled_water,7.3,73.6,50,65,0.564,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,5
London,51.5,-0.1,oceanic,chilled_water,14.0,78.7,100,75,0.654,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,5
London,51.5,-0.1,oceanic,seawater,10.3,65.8,300,55,0.13,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,5
London,51.5,-0.1,oceanic,seawater,12.9,60.2,50,40,0.128,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,5
London,51.5,-0.1,oceanic,seawater,10.3,77.8,20,95,0.131,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,5
London,51.5,-0.1,oceanic,seawater,15.3,95.1,500,85,0.163,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,5
London,51.5,-0.1,oceanic,liquid,15.9,55.1,500,55,0.196,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,5
London,51.5,-0.1,oceanic,liquid,10.2,85.0,20,65,0.198,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,5
London,51.5,-0.1,oceanic,liquid,6.7,79.8,10,95,0.171,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,5
London,51.5,-0.1,oceanic,liquid,11.9,76.0,100,85,0.185,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,5
Amsterdam,52.4,4.9,oceanic,air_side,10.6,65.6,200,40,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,5
Amsterdam,52.4,4.9,oceanic,air_side,15.9,62.3,500,95,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,5
Amsterdam,52.4,4.9,oceanic,air_side,11.8,78.8,200,65,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,5
Amsterdam,52.4,4.9,oceanic,air_side,12.3,94.2,100,75,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,5
Amsterdam,52.4,4.9,oceanic,evaporative,8.4,75.3,10,85,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,5
Amsterdam,52.4,4.9,oceanic,evaporative,10.7,63.9,100,65,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,5
Amsterdam,52.4,4.9,oceanic,evaporative,16.4,80.1,300,95,0.211,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,5
Amsterdam,52.4,4.9,oceanic,evaporative,12.7,77.8,500,55,0.022,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,5
Amsterdam,52.4,4.9,oceanic,chilled_water,15.4,87.2,300,75,0.698,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,5
Amsterdam,52.4,4.9,oceanic,chilled_water,10.5,85.1,20,40,0.592,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,5
Amsterdam,52.4,4.9,oceanic,chilled_water,11.3,82.6,500,55,0.597,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,5
Amsterdam,52.4,4.9,oceanic,chilled_water,15.0,88.5,50,95,0.684,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,5
Amsterdam,52.4,4.9,oceanic,seawater,7.9,70.8,50,55,0.142,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,5
Amsterdam,52.4,4.9,oceanic,seawater,14.4,64.5,50,65,0.161,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,5
Amsterdam,52.4,4.9,oceanic,seawater,8.5,74.9,10,85,0.124,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,5
Amsterdam,52.4,4.9,oceanic,seawater,9.6,83.7,300,40,0.145,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,5
Amsterdam,52.4,4.9,oceanic,liquid,6.3,91.0,100,65,0.196,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,5
Amsterdam,52.4,4.9,oceanic,liquid,16.3,85.5,20,95,0.231,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,5
Amsterdam,52.4,4.9,oceanic,liquid,13.0,62.4,500,40,0.198,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,5
Amsterdam,52.4,4.9,oceanic,liquid,15.1,81.0,500,75,0.205,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,5
Frankfurt,50.1,8.7,temperate,air_side,15.0,62.7,20,40,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Frankfurt,50.1,8.7,temperate,air_side,13.8,77.9,100,65,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Frankfurt,50.1,8.7,temperate,air_side,17.4,51.1,500,85,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Frankfurt,50.1,8.7,temperate,air_side,10.6,73.4,10,95,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Frankfurt,50.1,8.7,temperate,evaporative,15.3,62.6,500,55,0.215,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Frankfurt,50.1,8.7,temperate,evaporative,12.0,73.0,200,65,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Frankfurt,50.1,8.7,temperate,evaporative,20.6,54.9,10,95,0.558,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Frankfurt,50.1,8.7,temperate,evaporative,9.5,71.8,50,75,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Frankfurt,50.1,8.7,temperate,chilled_water,13.2,63.4,300,55,0.598,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Frankfurt,50.1,8.7,temperate,chilled_water,13.9,55.1,500,75,0.606,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Frankfurt,50.1,8.7,temperate,chilled_water,13.4,68.6,200,65,0.608,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Frankfurt,50.1,8.7,temperate,chilled_water,14.0,61.2,20,95,0.587,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Frankfurt,50.1,8.7,temperate,liquid,14.2,68.2,20,85,0.199,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Frankfurt,50.1,8.7,temperate,liquid,9.0,58.0,500,40,0.166,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Frankfurt,50.1,8.7,temperate,liquid,17.3,56.7,300,75,0.207,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Frankfurt,50.1,8.7,temperate,liquid,10.8,69.8,20,55,0.169,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Paris,48.9,2.3,temperate,air_side,13.7,64.8,20,75,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Paris,48.9,2.3,temperate,air_side,12.4,61.4,500,40,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Paris,48.9,2.3,temperate,air_side,17.3,74.5,10,55,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Paris,48.9,2.3,temperate,air_side,10.6,71.7,200,65,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,3
Paris,48.9,2.3,temperate,evaporative,16.4,61.8,300,40,0.297,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Paris,48.9,2.3,temperate,evaporative,12.5,63.0,50,65,0.094,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Paris,48.9,2.3,temperate,evaporative,13.7,71.1,300,85,0.121,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Paris,48.9,2.3,temperate,evaporative,12.8,66.0,10,55,0.073,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,3
Paris,48.9,2.3,temperate,chilled_water,18.8,58.2,20,75,0.691,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Paris,48.9,2.3,temperate,chilled_water,7.5,47.8,10,55,0.524,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Paris,48.9,2.3,temperate,chilled_water,14.5,59.4,300,95,0.635,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Paris,48.9,2.3,temperate,chilled_water,18.6,90.1,300,65,0.762,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,3
Paris,48.9,2.3,temperate,liquid,9.8,51.8,10,65,0.17,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Paris,48.9,2.3,temperate,liquid,21.3,73.2,500,95,0.212,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Paris,48.9,2.3,temperate,liquid,13.2,68.1,300,85,0.19,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Paris,48.9,2.3,temperate,liquid,15.7,68.1,20,40,0.187,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,3
Stockholm,59.3,18.1,subarctic,air_side,10.4,77.8,500,95,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,6
Stockholm,59.3,18.1,subarctic,air_side,1.6,65.2,20,40,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,6
Stockholm,59.3,18.1,subarctic,air_side,-0.2,70.5,10,65,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,6
Stockholm,59.3,18.1,subarctic,air_side,4.2,65.2,500,55,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,6
Stockholm,59.3,18.1,subarctic,evaporative,1.3,70.5,300,65,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,6
Stockholm,59.3,18.1,subarctic,evaporative,3.4,72.0,500,40,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,6
Stockholm,59.3,18.1,subarctic,evaporative,0.9,64.7,100,75,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,6
Stockholm,59.3,18.1,subarctic,evaporative,8.2,71.4,200,95,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,6
Stockholm,59.3,18.1,subarctic,chilled_water,5.1,73.7,20,75,0.57,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,6
Stockholm,59.3,18.1,subarctic,chilled_water,4.7,63.3,50,85,0.564,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,6
Stockholm,59.3,18.1,subarctic,chilled_water,1.7,65.3,20,95,0.543,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,6
Stockholm,59.3,18.1,subarctic,chilled_water,6.3,79.8,200,65,0.588,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,6
Stockholm,59.3,18.1,subarctic,liquid,5.0,57.6,200,95,0.159,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,6
Stockholm,59.3,18.1,subarctic,liquid,8.7,77.8,200,75,0.198,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,6
Stockholm,59.3,18.1,subarctic,liquid,6.1,65.8,500,85,0.154,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,6
Stockholm,59.3,18.1,subarctic,liquid,6.1,64.0,500,40,0.178,physics_simulation,LBNL-2001637 (2024); DOE FEMP Guide (2024),5,6
Helsinki,60.2,25.0,subarctic,air_side,1.1,60.2,10,55,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,6
Helsinki,60.2,25.0,subarctic,air_side,0.7,65.8,20,95,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,6
Helsinki,60.2,25.0,subarctic,air_side,4.9,57.5,200,65,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,6
Helsinki,60.2,25.0,subarctic,air_side,5.2,79.8,20,75,0.01,physics_simulation,Equinix (2024); DOE FEMP Guide (2024); LBNL-2001637 (2024),1,6
Helsinki,60.2,25.0,subarctic,evaporative,-2.9,65.0,20,95,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,6
Helsinki,60.2,25.0,subarctic,evaporative,3.5,74.3,200,65,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,6
Helsinki,60.2,25.0,subarctic,evaporative,2.0,60.5,10,40,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,6
Helsinki,60.2,25.0,subarctic,evaporative,2.1,80.5,100,85,0.01,physics_simulation,Equinix (2024); EESI (2024); LBNL-2001637 (2024),2,6
Helsinki,60.2,25.0,subarctic,chilled_water,-0.3,67.5,500,85,0.561,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,6
Helsinki,60.2,25.0,subarctic,chilled_water,3.4,68.1,200,40,0.537,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,6
Helsinki,60.2,25.0,subarctic,chilled_water,3.9,78.0,500,55,0.549,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,6
Helsinki,60.2,25.0,subarctic,chilled_water,3.1,63.7,200,95,0.525,physics_simulation,LBNL-2001637 (2024); Shehabi et al. 2024,3,6
Helsinki,60.2,25.0,subarctic,seawater,0.5,57.2,10,95,0.15,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,6
Helsinki,60.2,25.0,subarctic,seawater,-0.4,73.6,500,75,0.132,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,6
Helsinki,60.2,25.0,subarctic,seawater,3.2,69.2,500,40,0.143,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,6
Helsinki,60.2,25.0,subarctic,seawater,2.1,64.4,300,65,0.134,physics_simulation,Google Environmental Report 2024; LBNL-2001637 (2024),4,6
